task,layer,reviving_count,model
1,conv1,3,relu_0.3_ours_sgd
1,conv1,3,relu_0.3_ours_sgd
1,conv1,2,relu_0.3_ours_sgd
2,conv1,1,relu_0.3_ours_sgd
2,conv1,1,relu_0.3_ours_sgd
3,conv1,1,relu_0.3_ours_sgd
3,conv1,1,relu_0.3_ours_sgd
3,conv1,1,relu_0.3_ours_sgd
4,conv1,1,relu_0.3_ours_sgd
4,conv1,1,relu_0.3_ours_sgd
4,conv1,1,relu_0.3_ours_sgd
2,layer4,50,relu_0.3_ours_sgd
2,layer4,50,relu_0.3_ours_sgd
2,layer4,46,relu_0.3_ours_sgd
3,layer4,15,relu_0.3_ours_sgd
3,layer4,15,relu_0.3_ours_sgd
3,layer4,15,relu_0.3_ours_sgd
4,layer4,10,relu_0.3_ours_sgd
4,layer4,10,relu_0.3_ours_sgd
4,layer4,10,relu_0.3_ours_sgd
2,conv1,2,leaky_relu_0.3_ghada_adam
2,conv1,2,leaky_relu_0.3_ghada_adam
2,conv1,1,leaky_relu_0.3_ghada_adam
3,conv1,4,leaky_relu_0.3_ghada_adam
3,conv1,4,leaky_relu_0.3_ghada_adam
3,conv1,4,leaky_relu_0.3_ghada_adam
4,conv1,1,leaky_relu_0.3_ghada_adam
4,conv1,1,leaky_relu_0.3_ghada_adam
4,conv1,1,leaky_relu_0.3_ghada_adam
2,layer4,18,leaky_relu_0.3_ghada_adam
2,layer4,18,leaky_relu_0.3_ghada_adam
2,layer4,18,leaky_relu_0.3_ghada_adam
3,layer4,26,leaky_relu_0.3_ghada_adam
3,layer4,26,leaky_relu_0.3_ghada_adam
3,layer4,26,leaky_relu_0.3_ghada_adam
4,layer4,23,leaky_relu_0.3_ghada_adam
4,layer4,23,leaky_relu_0.3_ghada_adam
4,layer4,23,leaky_relu_0.3_ghada_adam
4,layer4,1,leaky_relu_0.2_ghada_sgd
4,layer4,1,leaky_relu_0.2_ghada_sgd
4,layer4,1,leaky_relu_0.2_ghada_sgd
2,layer4,1,leaky_relu_0.2_ours_adam
2,layer4,1,leaky_relu_0.2_ours_adam
2,layer4,1,leaky_relu_0.2_ours_adam
3,layer4,5,leaky_relu_0.2_ours_adam
3,layer4,5,leaky_relu_0.2_ours_adam
3,layer4,5,leaky_relu_0.2_ours_adam
4,layer4,11,leaky_relu_0.2_ours_adam
4,layer4,11,leaky_relu_0.2_ours_adam
4,layer4,11,leaky_relu_0.2_ours_adam
1,conv1,2,leaky_relu_0.3_ours_sgd
1,conv1,2,leaky_relu_0.3_ours_sgd
1,conv1,1,leaky_relu_0.3_ours_sgd
3,conv1,1,leaky_relu_0.3_ours_sgd
3,conv1,1,leaky_relu_0.3_ours_sgd
3,conv1,1,leaky_relu_0.3_ours_sgd
2,layer4,7,leaky_relu_0.3_ours_sgd
2,layer4,7,leaky_relu_0.3_ours_sgd
2,layer4,7,leaky_relu_0.3_ours_sgd
3,layer4,22,leaky_relu_0.3_ours_sgd
3,layer4,22,leaky_relu_0.3_ours_sgd
3,layer4,22,leaky_relu_0.3_ours_sgd
4,layer4,19,leaky_relu_0.3_ours_sgd
4,layer4,19,leaky_relu_0.3_ours_sgd
4,layer4,19,leaky_relu_0.3_ours_sgd
1,conv1,1,silu_0.3_ours_adam
1,conv1,1,silu_0.3_ours_adam
3,conv1,1,silu_0.3_ours_adam
3,conv1,1,silu_0.3_ours_adam
3,conv1,1,silu_0.3_ours_adam
4,conv1,3,silu_0.3_ours_adam
4,conv1,3,silu_0.3_ours_adam
4,conv1,3,silu_0.3_ours_adam
2,layer4,46,silu_0.3_ours_adam
2,layer4,45,silu_0.3_ours_adam
2,layer4,43,silu_0.3_ours_adam
3,layer4,47,silu_0.3_ours_adam
3,layer4,45,silu_0.3_ours_adam
3,layer4,45,silu_0.3_ours_adam
4,layer4,11,silu_0.3_ours_adam
4,layer4,11,silu_0.3_ours_adam
4,layer4,11,silu_0.3_ours_adam
2,layer4,2,relu_0.2_ghada_sgd
2,layer4,2,relu_0.2_ghada_sgd
2,layer4,2,relu_0.2_ghada_sgd
3,layer4,6,relu_0.2_ghada_sgd
3,layer4,6,relu_0.2_ghada_sgd
3,layer4,6,relu_0.2_ghada_sgd
4,layer4,11,relu_0.2_ghada_sgd
4,layer4,11,relu_0.2_ghada_sgd
4,layer4,11,relu_0.2_ghada_sgd
2,layer4,2,relu_0.2_ours_sgd
2,layer4,2,relu_0.2_ours_sgd
2,layer4,2,relu_0.2_ours_sgd
3,layer4,6,relu_0.2_ours_sgd
3,layer4,6,relu_0.2_ours_sgd
3,layer4,6,relu_0.2_ours_sgd
4,layer4,11,relu_0.2_ours_sgd
4,layer4,11,relu_0.2_ours_sgd
4,layer4,11,relu_0.2_ours_sgd
2,layer4,10,silu_0.2_ours_adam
2,layer4,10,silu_0.2_ours_adam
2,layer4,10,silu_0.2_ours_adam
3,layer4,19,silu_0.2_ours_adam
3,layer4,16,silu_0.2_ours_adam
3,layer4,16,silu_0.2_ours_adam
4,layer4,13,silu_0.2_ours_adam
4,layer4,13,silu_0.2_ours_adam
4,layer4,13,silu_0.2_ours_adam
2,layer4,1,relu_0.2_ghada_adam
2,layer4,1,relu_0.2_ghada_adam
2,layer4,1,relu_0.2_ghada_adam
3,layer4,5,relu_0.2_ghada_adam
3,layer4,5,relu_0.2_ghada_adam
3,layer4,5,relu_0.2_ghada_adam
4,layer4,17,relu_0.2_ghada_adam
4,layer4,17,relu_0.2_ghada_adam
4,layer4,17,relu_0.2_ghada_adam
2,layer4,10,silu_0.2_ghada_adam
2,layer4,10,silu_0.2_ghada_adam
2,layer4,10,silu_0.2_ghada_adam
3,layer4,19,silu_0.2_ghada_adam
3,layer4,16,silu_0.2_ghada_adam
3,layer4,16,silu_0.2_ghada_adam
4,layer4,13,silu_0.2_ghada_adam
4,layer4,13,silu_0.2_ghada_adam
4,layer4,13,silu_0.2_ghada_adam
1,conv1,3,relu_0.3_ghada_sgd
3,conv1,1,relu_0.3_ghada_sgd
4,conv1,2,relu_0.3_ghada_sgd
2,layer4,48,relu_0.3_ghada_sgd
2,layer4,48,relu_0.3_ghada_sgd
2,layer4,48,relu_0.3_ghada_sgd
3,layer4,12,relu_0.3_ghada_sgd
3,layer4,12,relu_0.3_ghada_sgd
3,layer4,12,relu_0.3_ghada_sgd
4,layer4,15,relu_0.3_ghada_sgd
4,layer4,15,relu_0.3_ghada_sgd
4,layer4,15,relu_0.3_ghada_sgd
1,conv1,2,leaky_relu_0.3_ghada_sgd
1,conv1,2,leaky_relu_0.3_ghada_sgd
1,conv1,2,leaky_relu_0.3_ghada_sgd
3,conv1,1,leaky_relu_0.3_ghada_sgd
3,conv1,1,leaky_relu_0.3_ghada_sgd
3,conv1,1,leaky_relu_0.3_ghada_sgd
4,conv1,1,leaky_relu_0.3_ghada_sgd
4,conv1,1,leaky_relu_0.3_ghada_sgd
4,conv1,1,leaky_relu_0.3_ghada_sgd
2,layer4,5,leaky_relu_0.3_ghada_sgd
2,layer4,5,leaky_relu_0.3_ghada_sgd
2,layer4,5,leaky_relu_0.3_ghada_sgd
3,layer4,16,leaky_relu_0.3_ghada_sgd
3,layer4,16,leaky_relu_0.3_ghada_sgd
3,layer4,16,leaky_relu_0.3_ghada_sgd
4,layer4,13,leaky_relu_0.3_ghada_sgd
4,layer4,11,leaky_relu_0.3_ghada_sgd
4,layer4,10,leaky_relu_0.3_ghada_sgd
2,conv1,2,leaky_relu_0.3_ours_adam
2,conv1,2,leaky_relu_0.3_ours_adam
2,conv1,2,leaky_relu_0.3_ours_adam
3,conv1,3,leaky_relu_0.3_ours_adam
3,conv1,3,leaky_relu_0.3_ours_adam
3,conv1,3,leaky_relu_0.3_ours_adam
2,layer4,18,leaky_relu_0.3_ours_adam
2,layer4,18,leaky_relu_0.3_ours_adam
2,layer4,18,leaky_relu_0.3_ours_adam
3,layer4,27,leaky_relu_0.3_ours_adam
3,layer4,27,leaky_relu_0.3_ours_adam
3,layer4,27,leaky_relu_0.3_ours_adam
4,layer4,19,leaky_relu_0.3_ours_adam
4,layer4,19,leaky_relu_0.3_ours_adam
4,layer4,19,leaky_relu_0.3_ours_adam
2,layer4,1,leaky_relu_0.2_ghada_adam
2,layer4,1,leaky_relu_0.2_ghada_adam
2,layer4,1,leaky_relu_0.2_ghada_adam
3,layer4,5,leaky_relu_0.2_ghada_adam
3,layer4,5,leaky_relu_0.2_ghada_adam
3,layer4,5,leaky_relu_0.2_ghada_adam
4,layer4,11,leaky_relu_0.2_ghada_adam
4,layer4,11,leaky_relu_0.2_ghada_adam
4,layer4,11,leaky_relu_0.2_ghada_adam
2,conv1,1,silu_0.3_ours_sgd
2,conv1,1,silu_0.3_ours_sgd
2,conv1,1,silu_0.3_ours_sgd
3,conv1,1,silu_0.3_ours_sgd
3,conv1,1,silu_0.3_ours_sgd
3,conv1,1,silu_0.3_ours_sgd
4,conv1,1,silu_0.3_ours_sgd
4,conv1,1,silu_0.3_ours_sgd
4,conv1,1,silu_0.3_ours_sgd
3,layer4,5,silu_0.3_ours_sgd
3,layer4,5,silu_0.3_ours_sgd
3,layer4,5,silu_0.3_ours_sgd
4,layer4,4,silu_0.3_ours_sgd
4,layer4,4,silu_0.3_ours_sgd
4,layer4,4,silu_0.3_ours_sgd
2,layer4,1,relu_0.2_ours_adam
2,layer4,1,relu_0.2_ours_adam
2,layer4,1,relu_0.2_ours_adam
3,layer4,5,relu_0.2_ours_adam
3,layer4,5,relu_0.2_ours_adam
3,layer4,5,relu_0.2_ours_adam
4,layer4,17,relu_0.2_ours_adam
4,layer4,17,relu_0.2_ours_adam
4,layer4,17,relu_0.2_ours_adam
2,conv1,2,relu_0.3_ours_adam
2,conv1,2,relu_0.3_ours_adam
2,conv1,2,relu_0.3_ours_adam
3,conv1,2,relu_0.3_ours_adam
3,conv1,2,relu_0.3_ours_adam
3,conv1,2,relu_0.3_ours_adam
4,conv1,2,relu_0.3_ours_adam
4,conv1,2,relu_0.3_ours_adam
4,conv1,2,relu_0.3_ours_adam
2,layer4,30,relu_0.3_ours_adam
2,layer4,30,relu_0.3_ours_adam
2,layer4,30,relu_0.3_ours_adam
3,layer4,27,relu_0.3_ours_adam
3,layer4,27,relu_0.3_ours_adam
3,layer4,27,relu_0.3_ours_adam
4,layer4,20,relu_0.3_ours_adam
4,layer4,20,relu_0.3_ours_adam
4,layer4,20,relu_0.3_ours_adam
2,conv1,1,silu_0.3_ghada_sgd
2,conv1,1,silu_0.3_ghada_sgd
2,conv1,1,silu_0.3_ghada_sgd
3,conv1,1,silu_0.3_ghada_sgd
3,conv1,1,silu_0.3_ghada_sgd
3,conv1,1,silu_0.3_ghada_sgd
4,conv1,1,silu_0.3_ghada_sgd
4,conv1,1,silu_0.3_ghada_sgd
4,conv1,1,silu_0.3_ghada_sgd
3,layer4,5,silu_0.3_ghada_sgd
3,layer4,5,silu_0.3_ghada_sgd
3,layer4,5,silu_0.3_ghada_sgd
4,layer4,4,silu_0.3_ghada_sgd
4,layer4,4,silu_0.3_ghada_sgd
4,layer4,4,silu_0.3_ghada_sgd
2,conv1,2,relu_0.3_ghada_adam
2,conv1,2,relu_0.3_ghada_adam
2,conv1,2,relu_0.3_ghada_adam
3,conv1,1,relu_0.3_ghada_adam
3,conv1,1,relu_0.3_ghada_adam
3,conv1,1,relu_0.3_ghada_adam
4,conv1,2,relu_0.3_ghada_adam
4,conv1,2,relu_0.3_ghada_adam
4,conv1,2,relu_0.3_ghada_adam
2,layer4,30,relu_0.3_ghada_adam
2,layer4,30,relu_0.3_ghada_adam
2,layer4,30,relu_0.3_ghada_adam
3,layer4,21,relu_0.3_ghada_adam
3,layer4,21,relu_0.3_ghada_adam
3,layer4,21,relu_0.3_ghada_adam
4,layer4,18,relu_0.3_ghada_adam
4,layer4,18,relu_0.3_ghada_adam
4,layer4,18,relu_0.3_ghada_adam
4,layer4,1,leaky_relu_0.2_ours_sgd
4,layer4,1,leaky_relu_0.2_ours_sgd
4,layer4,1,leaky_relu_0.2_ours_sgd
1,conv1,1,silu_0.3_ghada_adam
1,conv1,1,silu_0.3_ghada_adam
1,conv1,1,silu_0.3_ghada_adam
2,layer4,47,silu_0.3_ghada_adam
2,layer4,47,silu_0.3_ghada_adam
2,layer4,47,silu_0.3_ghada_adam
3,layer4,28,silu_0.3_ghada_adam
3,layer4,28,silu_0.3_ghada_adam
3,layer4,28,silu_0.3_ghada_adam
4,layer4,28,silu_0.3_ghada_adam
4,layer4,28,silu_0.3_ghada_adam
4,layer4,28,silu_0.3_ghada_adam
